found_folder,file_name,chainid,chainname,lastupdatedate,lastupdatetime,subchainid,subchainname,storeid,bikoretno,storetype,storename,address,city,zipcode
app_data/dumps/Osherad,Stores7290103152017-000-20260601-080500.xml,7290103152017,אושר עד,2026-06-01,08:05:01.013,001,1,001,6,1,מגדל העמק,האיצטדיון 11,874,2303401
,,,,,,,,003,4,,גבעת שאול,בית הדפוס 29,3000,9548334
,,,,,,,,005,2,,קרית ביאליק,"הנס מולר 6, צור שלום",9500,2751206
,,,,,,,,006,1,,כנות,אדום 24 פארק התעשיות כנות,2006,7982500
,,,,,,,,009,8,,אשדוד,בעלי המלאכה 4,70,7761205
,,,,,,,,010,4,,פתח תקווה - סגולה,בן ציון גליס 30,7900,4927930
,,,,,,,,011,3,,בני ברק,הקישון 11,6100,5120314
,,,,,,,,013,1,,באר שבע,הקוצר 15 אזור תעשיה עמק שרה,9000,8480904
,,,,,,,,014,0,,חדרה,"המסגר 22 אזה""ת הצפוני",6500,3850169
,,,,,,,,016,8,,בית שמש - גליל,מורדי הגיטאות 6,2610,9958206
,,,,,,,,018,6,,ביתר עילית,בניין דוד 5,3780,9056605
,,,,,,,,019,5,,עפולה,חיים לסקוב,7700,1851056
,,,,,,,,020,1,,לוד,בת שבע 1 מתחם טלרד,7000,7120101
,,,,,,,,022,9,,אשקלון בת הדר,בת הדר,7100,7910300
,,,,,,,,023,8,,נתניה,שדרות תום לנטוס,7400,4276019
,,,,,,,,024,7,,תל אביב,קרמינצקי 3,5000,6789903
,,,,,,,,025,6,,ראשון לציון,אצל 26,8300,7570630
,,,,,,,,026,5,,תלפיות,פייר קניג 26 קניון הדר,3000,9346934
,,,,,,,,028,3,,שמגר,שמגר 16,,9446116
,,,,,,,,029,2,,קרית ים,גולדה מאיר 2,9600,2905737
,,,,,,,,030,8,,חיפה,דרך בר יהודה 31,4000,3262724
,,,,,,,,031,7,,כפר סבא,דרך הים 9,6900,4418001
,,,,,,,,032,6,,קרית אונו,שמירה אימבר גדיש 9,2620,5510101
